STATION,STATION_NAME,DATE,TMAX,TMIN,WT09,WT14,WT07,WT01,WT17,WT06,WT21,WT05,WT02,WT11,WT22,WT04,WT13,WT16,WT08,WT18,WT03
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090117,22,-117,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090118,50,0,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090119,100,17,1,-9999,-9999,1,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999,1,-9999,1,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090120,17,-50,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,-9999,1,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090121,17,-106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090122,94,-56,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090123,156,-6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090124,139,22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090125,22,-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090126,83,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090127,61,44,-9999,1,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090128,194,56,1,1,-9999,1,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090129,122,-11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090130,100,-22,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090131,83,-33,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090201,167,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090202,178,28,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090203,78,0,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,1,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090204,33,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090205,11,-72,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090206,128,-67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090207,217,-6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090208,239,67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090209,189,44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090210,228,89,1,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,1,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090211,239,122,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090212,206,106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090213,200,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090214,172,72,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090215,122,11,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090216,78,-6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,1,-9999,1,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090217,100,-50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090218,139,44,-9999,1,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090219,144,11,1,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090220,61,-28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090221,122,-56,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090222,100,-6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090223,67,-22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090224,78,-50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090225,133,-39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090226,183,28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090227,222,117,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090228,144,33,-9999,1,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090301,33,17,-9999,1,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,1,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090302,17,-50,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,1,1,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090303,22,-78,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090304,100,-67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090305,161,-17,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090306,233,44,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090307,278,94,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090308,289,117,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090309,289,128,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090310,206,83,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090311,283,161,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090312,167,83,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090313,83,39,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,1,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090314,67,39,-9999,1,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090315,94,61,-9999,1,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090316,106,83,1,1,-9999,1,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090317,167,61,-9999,1,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,1,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090318,200,61,1,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,1,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090319,244,72,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090320,156,50,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090321,139,-6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090322,194,-6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090323,189,56,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090324,144,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090325,94,56,-9999,1,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090326,206,78,1,1,-9999,1,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090327,200,139,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,1,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090328,211,167,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,1,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090329,250,100,-9999,1,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090330,194,67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090331,206,39,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090401,211,117,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090402,183,144,-9999,1,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090403,256,128,-9999,1,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090404,233,83,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090405,283,67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090406,217,89,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090407,106,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090408,161,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090409,211,61,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090410,256,122,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,1
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090411,222,106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090412,189,67,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090413,172,72,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090414,228,133,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,1,-9999,1
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090415,178,94,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,1,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090416,200,61,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090417,233,22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090418,283,72,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090419,228,117,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090420,261,150,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090421,239,100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090422,183,83,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090423,267,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090424,317,111,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090425,333,189,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090426,328,161,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090427,317,161,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090428,294,128,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090429,283,144,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090430,244,128,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999
GHCND:USW00013722,RALEIGH DURHAM INTERNATIONAL AIRPORT NC US,20090501,278,194,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,-9999,-9999
